id,city_name,city_name_zh,country,country_code,longitude,latitude,population,map_x,map_y,neighbors
CITY_1159151587,Mexico City,墨西哥城,Mexico,MEX,-99.132934,19.444388,19028000,0.630419,0.829818,CITY_1159151293;CITY_1159151527;CITY_1159149687
CITY_1159151573,"Washington, D.C.",华盛顿哥伦比亚特区,United States of America,USA,-77.011364,38.901495,4338000,0.768679,0.583525,CITY_1159150513;CITY_1159133587
CITY_1159151347,Havana,哈瓦那,Cuba,CUB,-82.366128,23.133905,2174000,0.735212,0.783115,CITY_1159146921
CITY_1159151401,Santo Domingo,圣多明哥,Dominican Republic,DOM,-69.902031,18.472019,2154000,0.813112,0.842126,CITY_1159150589;CITY_1159151181
CITY_1159150589,Port-au-Prince,太子港,Haiti,HTI,-72.337980,18.542971,1998000,0.797888,0.841228,CITY_1159151401;CITY_1159146921
CITY_1159150853,San Salvador,圣萨尔瓦多,El Salvador,SLV,-89.204987,13.711948,1433000,0.692469,0.902380,CITY_1159150909;CITY_1159150583
CITY_1159150849,San Jose,圣荷西,Costa Rica,CRI,-84.085997,9.936958,1284000,0.724463,0.950165,CITY_1159150667;CITY_1159150623
CITY_1159150667,Panama City,巴拿马城,Panama,PAN,-79.534983,8.969963,1281000,0.752906,0.962406,CITY_1159150849
CITY_1159151059,Ottawa,渥太华,Canada,CAN,-75.701961,45.418643,1145000,0.776863,0.501030,CITY_1159151239;CITY_1159151065;CITY_1159148905;CITY_1159133587
CITY_1159150909,Guatemala,瓜地馬拉,Guatemala,GTM,-90.528911,14.623081,1024000,0.684194,0.890847,CITY_1159150853;CITY_1159150583;CITY_1159151109;CITY_1159150765
CITY_1159150583,Tegucigalpa,特古西加尔巴,Honduras,HND,-87.219475,14.103991,946000,0.704878,0.897418,CITY_1159150853;CITY_1159150909;CITY_1159150623;CITY_1159151109;CITY_1159146421
CITY_1159150855,Kingston,京斯敦,Jamaica,JAM,-76.767434,17.977077,937700,0.770204,0.848391,CITY_1159146921
CITY_1159150623,Managua,馬拿瓜,Nicaragua,NIC,-86.270438,12.154962,920000,0.710810,0.922089,CITY_1159150849;CITY_1159150583;CITY_1159146421
CITY_1159149307,Port-of-Spain,西班牙港,Trinidad and Tobago,TTO,-61.517031,10.651997,294934,0.865519,0.941114,CITY_1159150447
CITY_1159151207,Nassau,拿骚,The Bahamas,BHS,-77.350044,25.083390,227940,0.766562,0.758438,CITY_1159146921
CITY_1159150339,Bridgetown,布里奇顿,Barbados,BRB,-59.616527,13.102003,191152,0.877397,0.910101,CITY_1159150431
CITY_1159151185,Hamilton,哈密尔顿,Bermuda,BMU,-64.783937,32.294190,52320,0.845100,0.667162,CITY_1159151239
CITY_1159150431,Kingstown,金斯敦,Saint Vincent and the Grenadines,VCT,-61.212062,13.148279,49485,0.867425,0.909515,CITY_1159150339;CITY_1159150433;CITY_1159150447
