key,value
studyDays,6
studyLowDailyMoodThreshold,2
studyLowDailyMoodDelta,1
campusWanderMinGain,2
campusWanderMaxExclusive,8
campusWanderMoodGain,4
courseStaminaLossMin,4
courseStaminaLossMaxExclusive,10
courseMinStaminaLoss,1
sundayRestMoodGain,8
sundayRestStaminaGain,18
sundayStudyBaseGain,5
sundayStudyMoodDelta,-2
inviteGain,8
inviteMoodGain,2
friendGatheringGain,3
friendGatheringTreasuryCost,8
politicsMoodGain,1
lowStaminaThreshold,15
lowStaminaMoodPenalty,5
holidayMoodGain,5
holidayStaminaGain,12
examWrittenMin,24
examWrittenMaxExclusive,61
examCourseScoreMultiplier,5.5
examHighMoodThreshold,75
examHighMoodBonus,6
examLowMoodThreshold,30
examLowMoodPenalty,-6
