id,name,faction,provinceId,troops,maxTroops,move,maxMove,level,exp,attack,supply,maxSupply,aiProfile,intelLevel
a1,新京第一军,Player,xinjing,156,156,1,1,3,0,38,120,120,balanced,3
a2,龙门练军,Player,longmenbao,112,112,1,1,2,0,31,120,120,tactical,3
a3,望海水师营,Player,wanghaiguan,96,96,1,1,2,0,29,120,120,defensive,3
a4,海门守备军,Player,haimenwei,104,104,1,1,2,0,30,120,120,balanced,3
a5,沧海驿军,Player,canghaiyi,82,82,1,1,1,0,27,120,120,mobile,3
e1,雪原禁卫军,Imperial,xueyuanbao,138,138,1,1,3,0,36,120,120,defensive,1
e2,青岭亲军,Imperial,qinglingguan,130,130,1,1,3,0,35,120,120,siege,1
e3,铁湖骑卫,Imperial,tiehuwei,112,112,1,1,2,0,32,120,120,mobile,1
e4,白松旧营,Imperial,baisongling,96,96,1,1,2,0,30,120,120,defensive,1
r1,洛水自治军,Reformist,luoshuiying,130,130,1,1,3,0,33,120,120,tactical,1
r2,长河义勇军,Reformist,changhedu,116,116,1,1,2,0,30,120,120,balanced,1
r3,银山工兵团,Reformist,yinshanzhen,102,102,1,1,2,0,29,120,120,siege,1
r4,石淮民军,Reformist,shihuaiying,94,94,1,1,1,0,28,120,120,skirmish,1
n1,五湖盟军,Native,wuhucheng,118,118,1,1,2,0,31,120,120,defensive,1
n2,草海骑猎军,Native,caohaiying,108,108,1,1,2,0,30,120,120,skirmish,1
n3,落基山道军,Native,luojiguan,106,106,1,1,2,0,31,120,120,mobile,1
n4,黑水猎营,Native,heishuiling,94,94,1,1,1,0,28,120,120,skirmish,1
f1,云津商馆军,Foreign,yunjinggang,126,126,1,1,3,0,34,120,120,tactical,1
f2,金沙远征营,Foreign,jinshaigang,134,134,1,1,3,0,35,120,120,aggressive,1
f3,南湾炮舰队,Foreign,nanwanfu,120,120,1,1,2,0,33,120,120,siege,1
f4,西海商馆卫,Foreign,xihaiwei,110,110,1,1,2,0,31,120,120,defensive,1
f5,圣河雇佣军,Foreign,shenghekou,112,112,1,1,2,0,32,120,120,tactical,1
