key,value
hexCols,9
hexRows,7
objectiveQ,4
objectiveR,3
objectiveDefenseBonusPercent,5
playerObjectiveRequiredTurns,2
enemyObjectiveRequiredTurns,2
playerStartMorale,1
enemyStartMorale,0
battleRandomMin,-4
battleRandomMaxExclusive,7
aptitudeDamagePerLevel,5
defenderLevelDamagePenalty,2
counterDamagePercent,55
minDamage,4
minCounterDamage,3
lowMoraleHpPercent,30
minMorale,-2
maxMorale,2
unitLevelMax,5
unitLevelExpStep,50
unitLevelAttackGain,2
unitLevelHpGain,8
battleExpHit,12
battleExpKill,24
armyLevelMax,5
armyLevelExpStep,50
armyLevelAttackGain,3
armyLevelMaxTroopsGain,15
armyLevelTroopsGain,10
attackerArmyLevelHpPerLevel,8
attackerArmyLevelAttackPerLevel,2
attackerArmyLevelMoveBonusEveryLevels,3
attackerArmyMaxMoveLevelBonusCap,1
victoryArmyExp,35
minTroopsAfterBattle,20
defeatTroopDivisor,2
victoryHighDefenseMerit,50
victoryMidDefenseMerit,24
victoryLowDefenseMerit,15
defeatCommandLockTurns,2
captureChancePercent,5
strategySeasonTurnModulo,4
strategyMissionCycleLength,3
baseSupply,8
supplyPerLogisticsLevel,2
supplyTreasuryDivisor,2
enemyPowerAttackMultiplier,2
defenderPowerAttackMultiplier,2
enemyPowerRandomMin,0
enemyPowerRandomMaxExclusive,35
enemyDefeatMinTroops,12
enemyDefeatTroopLoss,18
defenderVictoryTroopLoss,12
formationDefaultCoefficient,5
formationTwoCoefficient,6
formationThreeCoefficient,7
