q,r,terrain
0,0,forest
1,0,plain
2,0,plain
3,0,plain
4,0,plain
5,0,forest
6,0,plain
7,0,plain
8,0,plain
0,1,plain
1,1,plain
2,1,mountain
3,1,plain
4,1,forest
5,1,plain
6,1,plain
7,1,plain
8,1,plain
0,2,plain
1,2,plain
2,2,plain
3,2,forest
4,2,plain
5,2,forest
6,2,plain
7,2,mountain
8,2,forest
0,3,plain
1,3,plain
2,3,forest
3,3,river
4,3,city
5,3,plain
6,3,plain
7,3,forest
8,3,plain
0,4,plain
1,4,forest
2,4,plain
3,4,plain
4,4,plain
5,4,plain
6,4,mountain
7,4,plain
8,4,plain
0,5,forest
1,5,plain
2,5,river
3,5,river
4,5,river
5,5,forest
6,5,river
7,5,river
8,5,plain
0,6,plain
1,6,plain
2,6,plain
3,6,plain
4,6,forest
5,6,plain
6,6,plain
7,6,plain
8,6,plain
