id,name,keyword,role,asset,idleFrames,moveFrames,attackFrames,hitFrames
swordsmen_volunteers,剑士队,义勇军,infantry,Art/BattleUnits/swordsmen_volunteers,6,12,8,8
matchlock_volunteers,火绳枪队,义勇军,musket,Art/BattleUnits/matchlock_volunteers,6,12,8,8
militia_volunteers,民兵团,义勇军,skirmisher,Art/BattleUnits/militia_volunteers,6,12,8,8
outlaw_skirmishers,亡徒军,贼徒,skirmisher,Art/BattleUnits/outlaw_skirmishers,6,12,8,8
imperial_halberdiers,禁卫长戟队,禁军,heavy_spear,Art/BattleUnits/imperial_halberdiers,6,12,8,8
armored_iron_cavalry,具装铁骑军,禁军,heavy_cavalry,Art/BattleUnits/armored_iron_cavalry,6,12,8,8
steel_helmet_heavy_infantry,钢盔军,义勇军,heavy_infantry,Art/BattleUnits/steel_helmet_heavy_infantry,6,12,8,8
imperial_longbowmen,禁军长弓兵,禁军,heavy_archer,Art/BattleUnits/imperial_longbowmen,6,12,8,8
sword_guard_corps,剑卫军团,义勇军,infantry,Art/BattleUnits/sword_guard_corps,6,12,8,8
imperial_axe_guard,禁军斧卫,禁军,heavy_brute,Art/BattleUnits/imperial_axe_guard,6,12,8,8
vanguard_cavalry,先锋骑军,义勇军,cavalry,Art/BattleUnits/vanguard_cavalry,6,12,8,8
solemn_guard_matchlocks,肃卫火枪队,义勇军,musket,Art/BattleUnits/solemn_guard_matchlocks,6,12,8,8
raiders,掠杀军,贼徒,skirmisher,Art/BattleUnits/raiders,6,12,8,8
imperial_heavy_guard,重甲禁卫军,禁军,heavy_infantry,Art/BattleUnits/imperial_heavy_guard,6,12,8,8
warhammer_volunteers,重锤军,义勇军,heavy_brute,Art/BattleUnits/warhammer_volunteers,6,12,8,8
imperial_shenji_artillery,禁军神机队,禁军,artillery,Art/BattleUnits/imperial_shenji_artillery,6,12,8,8
zealot_believers,狂热信众,信徒,skirmisher,Art/BattleUnits/zealot_believers,6,12,8,8
zealot_mob,狂热暴徒,信徒,brute,Art/BattleUnits/zealot_mob,6,12,8,8
leader_guard,领袖卫队,信徒,heavy_infantry,Art/BattleUnits/leader_guard,6,12,8,8
elite_archers,精锐弓兵队,义勇军,archer,Art/BattleUnits/elite_archers,6,12,8,8
bandits,土匪,贼徒,skirmisher,Art/BattleUnits/bandits,6,12,8,8
great_axe_warriors,巨斧军,义勇军,brute,Art/BattleUnits/great_axe_warriors,6,12,8,8
believer_elites,信徒精锐,信徒,infantry,Art/BattleUnits/believer_elites,6,12,8,8
