key,value
name,夏邑
age,16
year,1
week,1
mood,50
stamina,80
merit,0
treasury,120
infantryExp,0
cavalryExp,0
artilleryExp,0
managementExp,0
logisticsExp,0
trainingExp,0
title,新京军事学院生
courtesyName,
originId,
personalityId,
traits,
creationMemoryChoices,
subjectFocusIds,
lastCourse,
lastExamScore,0
nationAxis,0
classAxis,0
governanceAxis,0
regionAxis,0
commandLockTurns,0
prisoners,
intelligence,12
spyNetwork,0
newGamePlus,0
achievementPoints,0
battlesFought,0
battleWins,0
battleLosses,0
enemiesDefeated,0
questsCompleted,0
spySuccesses,0
supplyBreaks,0
equippedTitle,
unlockedSkills,
equippedSkills,
activeQuests,
completedQuests,
unlockedAchievements,
unlockedTitles,
unlockedEndings,
eventReview,
