id,type,chapter,trigger,jump,unlockKind,unlockTarget,unlockValue,unlockHint
EV001,主线,序章：入学与第一张任务板,游戏开始,,always,,0,创建角色后自动开放。
EV002,主线,序章：入学与第一张任务板,EV001完成后,对应主线:EV001,story,EV001,1,完成上一段主线 EV001。
EV003,可选项,序章：入学与第一张任务板,EV002完成后,,story,EV002,1,完成上一段主线 EV002。
EV004,主线,序章：入学与第一张任务板,EV003完成后,对应主线:EV003,story,EV003,1,完成上一段主线 EV003。
ZHY01,支线,支线剧情,EV002完成后,对应主线:EV002,story,EV002,1,完成主线 EV002 后开放。
GTY01,支线,支线剧情,EV001完成后,对应主线:EV001,story,EV001,1,完成主线 EV001 后开放。
FYJ01,支线,支线剧情,EV003完成后,对应主线:EV003,story,EV003,1,完成主线 EV003 后开放。
HDZ01,支线,支线剧情,EV004完成后,对应主线:EV004,story,EV004,1,完成主线 EV004 后开放。
WCD01,支线,支线剧情,EV004完成后,对应主线:EV004,story,EV004,1,完成主线 EV004 后开放。
EV005,主线,第一章：养成不是过场,EV004完成后,对应主线:EV004,quest,main_01,1,完成任务「第一周整训」：任意课程进度达到25。
EV006,可选项,第一章：养成不是过场,EV005完成后,→EV007-A,story,EV005,1,完成上一段主线 EV005。
EV007,主线,第一章：养成不是过场,EV006完成后,对应主线:EV006,quest,main_02,1,完成任务「训练搭档」：任意同窗好感达到30。
EV008,可选项,第一章：养成不是过场,EV007完成后,,story,EV007,1,完成上一段主线 EV007。
EV009,主线,第一章：养成不是过场,EV008完成后,对应主线:EV008,story,EV008,1,完成上一段主线 EV008。
EV010,主线,第一章：兵棋资格,EV009完成后,对应主线:EV009,quest,main_03,1,完成任务「兵棋资格」：任意课程达到2级。
EV011,可选项,第一章：兵棋资格,EV010完成后,→靶场线,story,EV010,1,完成上一段主线 EV010。
EV012,主线,第一章：兵棋资格,EV011完成后,对应主线:EV011,story,EV011,1,完成上一段主线 EV011。
EV013,主线,第二章：战前侦察,EV012完成后,,quest,main_04,1,完成任务「战前侦察」：情报值达到20。
QSS01,支线,支线剧情,EV007完成后,对应主线:EV007,story,EV007,1,完成主线 EV007 后开放。
SBC01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
FTS01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
MQH01,支线,支线剧情,EV008完成后,对应主线:EV008,story,EV008,1,完成主线 EV008 后开放。
QRY01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
GCE01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
LCE01,支线,支线剧情,EV012完成后,对应主线:EV012,story,EV012,1,完成主线 EV012 后开放。
WTZ01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
ZM01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
LPS01,支线,支线剧情,EV007完成后,对应主线:EV007,story,EV007,1,完成主线 EV007 后开放。
CQF01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
WLZ01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
QBZ01,支线,支线剧情,EV005完成后,对应主线:EV005,story,EV005,1,完成主线 EV005 后开放。
GWJ01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
WDD01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
ZG01,支线,支线剧情,EV012完成后,对应主线:EV012,story,EV012,1,完成主线 EV012 后开放。
YST01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
AH01,支线,支线剧情,EV008完成后,对应主线:EV008,story,EV008,1,完成主线 EV008 后开放。
BY01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
HF01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
TP01,支线,支线剧情,EV008完成后,对应主线:EV008,story,EV008,1,完成主线 EV008 后开放。
SY01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
HL01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
YN01,支线,支线剧情,EV008完成后,对应主线:EV008,story,EV008,1,完成主线 EV008 后开放。
LQM01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
YQS01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
SGD01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
HXM01,支线,支线剧情,EV008完成后,对应主线:EV008,story,EV008,1,完成主线 EV008 后开放。
YBM01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
CF01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
XFG01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
TMW01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
CFZ01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
JJF01,支线,支线剧情,EV010完成后,对应主线:EV010,story,EV010,1,完成主线 EV010 后开放。
ZSJ01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
YSY01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
XSY01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
XXF01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
ZM201,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
TJ01,支线,支线剧情,EV008完成后,对应主线:EV008,story,EV008,1,完成主线 EV008 后开放。
YZ01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
FG01,支线,支线剧情,EV009完成后,对应主线:EV009,story,EV009,1,完成主线 EV009 后开放。
LJ01,支线,支线剧情,EV005完成后,对应主线:EV005,story,EV005,1,完成主线 EV005 后开放。
EV014,主线,第二章：战前侦察,EV013完成后,对应主线:EV013,story,EV013,1,完成上一段主线 EV013。
EV015,主线,第二章：暗潮初现,EV014完成后,对应主线:EV014,story,EV014,1,完成上一段主线 EV014。
EV016,主线,第二章：暗潮初现,EV015完成后,对应主线:EV015,story,EV015,1,完成上一段主线 EV015。
EV017,可选项,第二章：派系压力,EV016完成后,→年末舞会-旧梦,story,EV016,1,完成上一段主线 EV016。
EV018,主线,第二章：暗潮初现,EV017完成后,对应主线:EV017,story,EV017,1,完成上一段主线 EV017。
EV019,主线,第二章：暗潮初现,EV018完成后,对应主线:EV018,story,EV018,1,完成上一段主线 EV018。
EV020,主线,第二章：暗潮初现,EV019完成后,对应主线:EV019,story,EV019,1,完成上一段主线 EV019。
ZHY02,支线,支线剧情,EV018完成后,对应主线:EV018,story,EV018,1,完成主线 EV018 后开放。
ZHF01,支线,支线剧情,EV017完成后,对应主线:EV017,story,EV017,1,完成主线 EV017 后开放。
SCA01,支线,支线剧情,EV016完成后,对应主线:EV016,story,EV016,1,完成主线 EV016 后开放。
HZY01,支线,支线剧情,EV016完成后,对应主线:EV016,story,EV016,1,完成主线 EV016 后开放。
GTY02,支线,支线剧情,EV020完成后,对应主线:EV020,story,EV020,1,完成主线 EV020 后开放。
STY01,支线,支线剧情,EV016完成后,对应主线:EV016,story,EV016,1,完成主线 EV016 后开放。
