"Path","SizeBytes","SHA256"
"Markdown\install (1).md","1081","c4ca3aa152348f2bdb35018fc835cdeb58095b112a155631158118c76377243a"
"Markdown\install (2).md","1081","c4ca3aa152348f2bdb35018fc835cdeb58095b112a155631158118c76377243a"
"Markdown\install.md","1081","c4ca3aa152348f2bdb35018fc835cdeb58095b112a155631158118c76377243a"
"Markdown\明路_01_兵种数值与克制关系.md","40887","eeefa9801dee9b9bdef0e380db0dd0599a58cc1b1ad93219433a0e6bae77ac15"
"Markdown\明路_02_技能系统.md","37766","ee023ca360f68eaa93902b3c95227ff1ff575cb718f5e32c290619cf88a14fab"
"Markdown\明路_02_技能系统_v2.md","97196","796e0d805ba4b95b24126626d3629e0bdd246889dc23796a6d7ae8f9a42c8571"
"Markdown\明路_03_AI设计.md","47412","e92ae528ce860e10410892f23f89fc8c893863996a36ee513c028cdf2388a9dc"
"Markdown\明路_05_补给系统.md","22989","dd23338bc37de11d00e70b6384a8056a5c0ec72a01e51d98d171d7d559fe96a3"
"Markdown\明路_07_好感度事件树.md","127493","ade8e1d5d4e19b096831825bd69bfc6de70e723281fef07a4e84e9da643e0ad0"
"Markdown\明路_09_成就与称号系统.md","25507","45a99c7e00115a6af16eb40dd3b0d10d15c9093fcafb6d26bbfcd45bc830e09a"
"Markdown\明路_11_存档与多周目.md","47489","4347a1a9100cb399a4181da18c18f3b4c444326c3b0a767836f910b120d43749"
"Markdown\明路_14_情报与间谍系统.md","52920","19422a0025f1a4b7e80a71cdcd74b672726dfb512aec39d313d6d098027e981d"
"Markdown\明路_15_UI详细设计文档.md","92162","ddfa22f0f19cb81918b38b3f411e528c536c7bc2492a3f1c3cd944e4e374e922"
"Markdown\明路_18_任务系统.md","96564","49f1a4b8d75ce29fdad3ba39e8d06526b6e4eb4576b0e8ffef67ccc59401821b"
"Markdown\明路_19_战斗系统详解.md","102638","c8d611c64425f401a383625a60e9d174bb0d2b9bb12523cf03f7e5ca1b8d220d"
"Markdown\明路_20_全功能UI排版与交互逻辑.md","263630","9a1880ed62f9f8c69d7aee33045d8a4e61781edc046c69d0e88ebb8c77d65f3a"
"Markdown\明路_21_剧情与养成串联重设计.md","167266","f291541b4ccd9ffee65ecfb9588c3faa4ff5f87246510742dc33c82ba8882356"
"Markdown\明路_22_建立角色与天赋系统.md","109503","e9f97da8d3b405f8e484f51047c42abbefbc5a68207340c6d6536ccf0aba5b9c"
"Markdown\明路_剧情大纲.md","10078","8efc4a94ae9357c04b1e7e9c87e4211911800916bdebaabcdd4476116ec00d15"
"Markdown\明路_扩充事件结构.md","64342","8e96c35cfa85dc0aa55755d57f9b6f9d7bd8eb911c6c7d5727c4682bb473f63e"
"PDF\《认知与设计：理解UI设计准则》.pdf","39369303","38037666263515f8c7772d6d9464e706899b0bddbe61f96250fd4e69d11fd2e5"
"PDF\chat-为这套玩法出战斗数值模型，输出以excel形式，要图文并茂，写明公式，计算出各个属性的标准价值以及3cd4cd5cd各自的标准模型属性_!DOCTYPE html___html lang=_zh-CN____head__    _meta charset=_UTF-8___    _title_三国海战 - TCG时停排轴版 (CD上限削减机制版)__title__    _style__     .pdf","8289448","cf240c468480cd8181537116c60f228f8860175b0f321dcd7fb5ee47d63b208b"
"PDF\艾达灵族11版中文 1.0_1783452815343_him8 (1).pdf","9657954","8d6407a9d89ea5744dae62741d93fb9781889adef918dcab16b48aec43e9defd"
"PDF\艾达灵族11版中文 1.0_1783452815343_him8.pdf","9657954","8d6407a9d89ea5744dae62741d93fb9781889adef918dcab16b48aec43e9defd"
"PDF\灰烬远征_战术肉鸽策划案.md.pdf","290359","3d90001f02987fd46eed44c88e222d89a239c9b6fcc33b88e2f50b104c0f603f"
"PDF\回合制战斗1.pdf","292656","cdf032f11e2213bec85f09290a2e29731d2781114e328ed6e513ddcd67870c96"
"PDF\游戏策划案(一）非对称博弈.pdf","352313","59c1c9b939e833dc2cc99e7d12bafdff8b338f44691572e242b63f863c9212db"
"PDF\游戏策划技巧提升笔记（水哥）.pdf","681227","1c06606f39acc04b7ac54319fcf80a1cf88818c8ac3492f66475978766be9b4d"
"PDF\游戏关卡设计.pdf","2755160","fa244b3e1a24e40c529a5e5d55ce538e72f4a2b40d0452dd90047c969c1c64f9"
"PDF\战斗系统浅析.pdf","116079","85e6b061c4728e7ca9189236c37a1442e122889b8a7826aec73a0c148f1bd818"
"PDF\战斗学.pdf","4384412","1758959066f8ac4105a07d7740f9b73d48e6c3d131369627b9c5a831ba6f8382"
"Spreadsheets\《飞吧龙骑士》战斗系统拆解用附表.xlsx","18341","0a4c4aa73db6cb668d5a3ce0ccc80c05ac6cfe18ae637a2e75d70dc3b536282b"
"Spreadsheets\Cardex富文本配置总结.xlsx","23808","dce7cb66192ea4c7512201e07eafb3d4b71d99f532ae82824c14bae691d86ad0"
"Spreadsheets\GameAction.xlsx","18740","eff332c65c1c3052d11b3453f4758f45a87bfb3053dcf14da2612317e7e83b05"
"Spreadsheets\GameBuff.xlsx","250800","8755cb54561ebe2a24e720c9aab2aa5d87ff4de970b7c91e64ce5f76b62981d1"
"Spreadsheets\GameBullet.xlsx","29963","ff9956682bd9ffa6dbf7bd70c54a7e552aa6bdba67de01e1ca653eea6fe8c2f7"
"Spreadsheets\GameSkill.xlsx","1131874","08fdc4c90b277acbc2d235647217e8352b6ffa4dd1a8f36ae5190e1d24a160c6"
"Spreadsheets\GameSkill_#note (1).csv","1018","817ef9bbc09d267b4e0addf24b7779d3d29e7f403e5b25e4fbde239650962cdc"
"Spreadsheets\GameSkill_#note.csv","1018","817ef9bbc09d267b4e0addf24b7779d3d29e7f403e5b25e4fbde239650962cdc"
"Spreadsheets\GameSkill_heroSkill (1).csv","9288","c55a696c7a28940c671d1d0addec23ba22a51d9f3b270a09ac4299b16ae745f6"
"Spreadsheets\GameSkill_heroSkill.csv","9288","c55a696c7a28940c671d1d0addec23ba22a51d9f3b270a09ac4299b16ae745f6"
"Spreadsheets\GameSkill_hitEffect (1).csv","939","5b22504e6b870601e0b17a0f6696ed4a4da6b639405c436e87187c388776309b"
"Spreadsheets\GameSkill_hitEffect.csv","939","5b22504e6b870601e0b17a0f6696ed4a4da6b639405c436e87187c388776309b"
"Spreadsheets\GameSkill_LaunchEffect (1).csv","1245","dae51cfdf78f6aabec195e890769b0e2db2b095c87acedcdb22de6f0e55a661b"
"Spreadsheets\GameSkill_LaunchEffect.csv","1231","c8a8e68fa53ad0c69d72ce120d3914dc96427d9ad22781f2117898a2339d033a"
"Spreadsheets\GameSkill_skill (1).csv","38570","54ac698b10b8ea005657319cfdbccc8155dfb748017f9cf24a395a6531d15ef4"
"Spreadsheets\GameSkill_skill.csv","41975","08d00232f65d746ab7dc89bcfd9e23927e62275ebd88495c0f61e95b07319281"
"Spreadsheets\GameSkill_skillAnimation (1).csv","13060","23efc8f35aeeed1d4107b8f9d0f25f80480915ee50af6c4cc9b408651143c304"
"Spreadsheets\GameSkill_skillAnimation.csv","13115","0c6d0256b1e84ac389a6d7bb6db7ee56538d496c86baa69f9ef8537b0831b4e2"
"Spreadsheets\GameSkill_skillCondition (1).csv","716","207978d41f9b56a50bd360b0bb855162f9a2599615b8a08b8b26d3e9faf2f999"
"Spreadsheets\GameSkill_skillCondition.csv","716","207978d41f9b56a50bd360b0bb855162f9a2599615b8a08b8b26d3e9faf2f999"
"Spreadsheets\GameSkill_skillFactor (1).csv","9101","e2c2a684daaa57772b10b4b85bdf30b0003fc989f1e74843b984b09667982d4a"
"Spreadsheets\GameSkill_skillFactor.csv","9065","a9f2c976ebf63a4ab9a42f1d0849669672f17dfebef74c230d38537e10f11740"
"Spreadsheets\GameSkill_skillSelect (1).csv","1264","7a4ff36ae68e7fd129c9deb92bcca20f92e458b5c211cf071ee20403b1803e59"
"Spreadsheets\GameSkill_skillSelect.csv","1264","7a4ff36ae68e7fd129c9deb92bcca20f92e458b5c211cf071ee20403b1803e59"
"Spreadsheets\GameSkill_skillType (1).csv","2727","f5a456bc62bc37f08d77aca54961b9ecd0ce2324dc392bc58bcaddcbfc4fef65"
"Spreadsheets\GameSkill_skillType.csv","2727","f5a456bc62bc37f08d77aca54961b9ecd0ce2324dc392bc58bcaddcbfc4fef65"
"Spreadsheets\Guide.xlsx","50813","d122b5fa465d1ab38fdfebd660046c0591437d18acea86cfa57493663e0515fb"
"Spreadsheets\Language.xlsx","670103","d697dba6aab5adb2a109d782d1536a790d81cb3145277a65a15342525010f835"
"Spreadsheets\member_effect_skill_check_20260701_211034.xlsx","16548","2b8e67a8a1402eafb5c486d44f0acf8cde21f67068d42e2499c557d13a956ac2"
"Spreadsheets\skill_hero_mapping_details_20260626.xlsx","30403","4d9b70652679723b892dd2f07d94e5954f64f53d8a94d8c85267ce784f1c88f7"
"Spreadsheets\标模计算.xlsx","13001","cc72e367a7bbb876f715feb77341c43ad504cf8be5c8decade69a1f8a9fba8a3"
"Spreadsheets\技能表现需求表格 (1).xlsx","189391","3c30f31235334e305ad16613e8d3a7c5ffbc90228e06506f725f11656f6e28c6"
"Spreadsheets\技能表现需求表格 (2).xlsx","29654","019b3bd67ac0647bb5f02f2fa2f1027a596e98abf031e89b2c47d41e94883152"
"Spreadsheets\技能表现需求表格.xlsx","182779","5950f1af2d2c5934d58fc7fb44372649f80844ff8b08c45c9447ec4a362e59bc"
"Spreadsheets\技能表现需求表格_模版卡字段标色.xlsx","186055","88bcd9a0fa364866b56797843a458cc0f5400c7955970aed7833c7b6469f251f"
"Spreadsheets\技能表现需求表格_武将重分配.xlsx","27570","3f8fa00b7212822edeb60b5e653e30d38e902f45effeaa640ed2955e4bd5d7bb"
"Spreadsheets\技能数值模型计算 (1).before_desc_tune_20260704_164509.xlsx","85774","0580bea1e3edc06b66f50793facf9e64414c10780c6f50e2f157025f919519f9"
"Spreadsheets\技能数值模型计算 (1).before_language_desc_20260704_162607.xlsx","61718","dd0f33fefb01d86fa8fa5a8762a1da92ca42773c20bcfd8ca1ec149947fb60ac"
"Spreadsheets\技能数值模型计算 (1).xlsx","85774","0580bea1e3edc06b66f50793facf9e64414c10780c6f50e2f157025f919519f9"
"Spreadsheets\技能数值模型计算 (2).before_language_sync_20260706_1115.xlsx","96685","fc5ea072d78a3a1a61fdbfb9e1caffac6513d099634d7b0106315d3f363c6b76"
"Spreadsheets\技能数值模型计算 (2).before_model_format_resync_20260706_1129.xlsx","89730","b5dd9dcd1f0d9c7ecb8d12c862ed7bb81cefa576291269eb3f2e0d9435416a68"
"Spreadsheets\技能数值模型计算 (2).xlsx","89564","9bfa004c8c8657f7de4bdf85481a6218a4feffa36172dd1e98541421a8f0bf3d"
"Spreadsheets\技能数值模型计算 (2)_language同步修改明细.csv","24783","1f6aa6c2325656c7f64ebbc2414f47d9201e23a369ecafeb83e35c57cbe8e088"
"Spreadsheets\技能数值模型计算 (2)_language同步修改明细_模型格式.csv","3803","caadc6f6db8cd5d6d8751773c0c2e22b12bab83914d1fe99a2972f6dca6ac1f8"
"Spreadsheets\技能数值模型计算 (2)_当前版本相对初始版本差异.csv","2066","94cabaa9ae121767a25b3c09529fc7e030bdd337f0bac8a72ab203c9468778ba"
"Spreadsheets\技能数值模型计算.xlsx","82575","98cd095f3af75ec100fda1c4b97c6c7dfc7d50bb38ec90894d02383439089754"
"Spreadsheets\技能数值配置.xlsx","1146448","9645727d0a248946a166ed08549d6cc98454099afc749ac34e6eff5c95088c68"
"Spreadsheets\角色牌技能描述最终版.xlsx","46322","313f601b3d9f533c9f3656d236276920ccbf38c2392379ba38882500812f3293"
"Spreadsheets\卡牌规划-3(1).xlsx","1952714","ad52122b88774df1768852469311eea58f5f0f588e3869ebeecc70bfd0b6cefe"
"Spreadsheets\卡牌规划-3.xlsx","1952709","c60e1558b21d19e9a40b494629912dc5baf75645cf6b217e490f140380831852"
"Spreadsheets\卡牌收集、阶段性追求.xlsx","3502917","39b21879e0a1d0b91c9691dbdbfb52b731a743bdb6b54ec8694829ede448d347"
"Spreadsheets\明路_角色设计.xlsx","57209","a7cea7e8171e833033c6904798557460785231ee5ad363cfebe24e555439d709"
"Spreadsheets\明路_剧情文本.xlsx","36563","68bd6e24b67bc62af2c65f222a315a25a8761c34382138194ef72b6dddf500d2"
"Spreadsheets\明路_剧情文本_扩充版.xlsx","268055","6fb60f33032a5ee44104d851425034cc3e23d9a1bbe61f8a238097beabf7ecdc"
"Spreadsheets\明路_扩充版_后半.xlsx","197256","55d8f43f4522c108626615d00ec323283ebed5b3dc8be453482c1789d67b298f"
"Spreadsheets\明路_扩充版_前半.xlsx","78783","40e65afaa11d89c118761d5bb2654099305b0e8bf9d2161e118aa43d6c43cac4"
"Spreadsheets\三国海战_TCG数值平衡模型v2.xlsx","20315","658d20a8d2b328a489e04b17d1ec02f3d8b7a197b5d9402610b3578b43a15054"
"Spreadsheets\三国海战_TCG数值平衡模型v3.xlsx","26605","0abba73272c32d8ddf75b1bbb498655a6ecc19a6448cd5f112385fb3c5843cfe"
"Spreadsheets\三国海战_TCG完整数值平衡框架.xlsx","35439","a68a32ca1189f11ba0bbad6d61632fe757fe021cc1b9e39b44be053c481885c5"
"Spreadsheets\三国海战_TCG战斗数值模型.xlsx","18470","d33247d48d684c026ca1acf1478aa064c8fe4072971eeb677616834f5281b6b6"
"Spreadsheets\商业化内容总览.xlsx","14433646","43f7fc80a015fc80e50d68b47524ab0763e6c97a36a3796026194971bd58ff91"
"Spreadsheets\小程序版基础框架.xlsx","1700692","ab43b2728fedaeba47eca81e330745163b5891f2afc269ec1c785f2534505bd9"
"Spreadsheets\新人手册设计.xlsx","30477983","a19a232a488735a82e56aedb8dc789885a561668e27c2430f49680b106e74f79"
"Spreadsheets\用户上传_技能表现需求表格_武将重分配.xlsx","27570","3f8fa00b7212822edeb60b5e653e30d38e902f45effeaa640ed2955e4bd5d7bb"
"Spreadsheets\用户上传_技能表现需求表格_武将重分配v2.xlsx","16132","28319eee15ee84afd0b31c6db9bd715ca0278fa221709a684b1aa360a2fc36ec"
"Spreadsheets\战斗技能设计(1).xlsx","48417","28c6e05a4e0294ce293ccfa8b248dc0c86a488fe0852c0d57f92802c34e17a91"
"Spreadsheets\战斗技能设计.xlsx","52416","c08ed195963e67bed97c828fe15759d42abb60633e167a34918e0020819ea1e1"
"Spreadsheets\战斗模块迭代 (1).xlsx","2178118","2ad7ee1ec66c03596f3d4e3d1b9c979b9f49972e54e50eee3300c7064b6b743a"
"Spreadsheets\战斗模块迭代 (2).xlsx","2178118","2ad7ee1ec66c03596f3d4e3d1b9c979b9f49972e54e50eee3300c7064b6b743a"
"Spreadsheets\战斗模块迭代 (3).xlsx","2178135","8f88b326bb711120bce39d8aebd1ef85b86fa0d2e9c389314b2e4b58b33c92e4"
"Spreadsheets\战斗模块迭代.xlsx","2178118","2ad7ee1ec66c03596f3d4e3d1b9c979b9f49972e54e50eee3300c7064b6b743a"
"Spreadsheets\主干总表.xlsx","1361803","33656a54e0491e140939079a2191d6e78a5a0d73d8a59b9d2c5e5918f99215ac"
"Web\artifact-0b3dc262-450e-4dfb-b264-814178ccd922-10.html","27862","cdea8c470fd6d167acef693d816f90ebbd321b61d3ea0efbf7dd8356c4f5b642"
"Web\artifact-0b3dc262-450e-4dfb-b264-814178ccd922-2.html","4926","dac91eb2bd373918997061702115b2ad121263b87277562ec556f46cb4221553"
"Web\artifact-0b3dc262-450e-4dfb-b264-814178ccd922-7.html","23724","09037a159d4deb42db9c7ec320f5e4cd5e036bf0294414e1654f338eb83021c5"
